title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read,year
American Gods,"First published June 19, 2001",Neil Gaiman,Fantasy,4.11,962338,635.0,1,English,47100,756k,2001
Coraline,"First published July 2, 2002",Neil Gaiman,Fantasy,4.12,736113,176.0,2,,12000,655k,2002
The Ocean at the End of the Lane,"First published June 18, 2013",Neil Gaiman,Fantasy,4.02,641080,195.0,3,English,14900,527k,2013
The Graveyard Book,"First published September 30, 2008",Neil Gaiman,Fantasy,4.16,554678,312.0,4,English,13400,425k,2008
Neverwhere,"First published September 16, 1996",Neil Gaiman,Fantasy,4.17,547162,370.0,5,English,19700,490k,1996
Stardust,"First published January 1, 1999",Neil Gaiman,Fantasy,4.1,470054,248.0,6,,10200,395k,1999
Norse Mythology,"First published February 7, 2017",Neil Gaiman,Fantasy,4.1,332031,301.0,7,English,27500,320k,2017
Preludes & Nocturnes,"First published January 1, 1988",Neil Gaiman,Graphic Novels,4.25,268965,240.0,8,English,7466,204k,1988
Anansi Boys,"First published September 20, 2005",Neil Gaiman,Fantasy,4.04,227278,387.0,9,English,7136,125k,2005
"The Sandman, Vol. 3: Dream Country","First published January 1, 1990",Neil Gaiman,Graphic Novels,4.24,123275,160.0,10,English,1245,60.1k,1990
"The Sandman, Vol. 2: The Doll's House","First published January 1, 1990",Neil Gaiman,Graphic Novels,4.43,108307,232.0,11,English,2074,36.4k,1990
"The Sandman, Vol. 4: Season of Mists","First published January 1, 1990",Neil Gaiman,Graphic Novels,4.53,79570,224.0,12,English,909,26.3k,1990
"The Sandman, Vol. 5: A Game of You","First published January 1, 1992",Neil Gaiman,Graphic Novels,4.41,67663,192.0,13,English,566,24.6k,1992
Smoke and Mirrors: Short Fiction and Illusions,"First published November 1, 1998",Neil Gaiman,Fantasy,4.01,72987,365.0,14,,3132,54.7k,1998
Fragile Things: Short Fictions and Wonders,"First published September 25, 2006",Neil Gaiman,Fantasy,3.95,71329,384.0,15,English,4421,60k,2006
"The Sandman, Vol. 7: Brief Lives","First published January 1, 1993",Neil Gaiman,Graphic Novels,4.55,60299,256.0,16,English,462,22.2k,1993
The Sandman: Overture,"First published September 1, 2015",Neil Gaiman,Graphic Novels,4.04,66298,224.0,17,English,695,56.9k,2015
"Fortunately, the Milk","First published September 17, 2013",Neil Gaiman,Fantasy,4.06,65798,128.0,18,English,987,38.4k,2013
"The Sandman, Vol. 6: Fables & Reflections","First published June 1, 1993",Neil Gaiman,Graphic Novels,4.42,60316,264.0,19,English,769,21.6k,1993
Trigger Warning: Short Fictions and Disturbances,"First published February 3, 2015",Neil Gaiman,Fantasy,3.92,62510,310.0,20,,5743,119k,2015
"The Sandman, Vol. 8: Worlds' End","First published January 1, 1993",Neil Gaiman,Graphic Novels,4.44,53523,160.0,21,English,415,538,1993
"The Sandman, Vol. 9: The Kindly Ones","First published January 1, 1995",Neil Gaiman,Graphic Novels,4.59,51770,352.0,22,English,437,22.7k,1995
Marvel 1602,"First published October 29, 2003",Neil Gaiman,Comics,3.95,59069,248.0,23,English,1410,58.8k,2003
"The Sandman, Vol. 10: The Wake","First published January 1, 1996",Neil Gaiman,Graphic Novels,4.52,50992,192.0,24,English,288,21.8k,1996
The Sleeper and the Spindle,"First published October 22, 2013",Neil Gaiman,Fantasy,3.88,53084,68.0,25,English,841,50.8k,2013
Death: The High Cost of Living,"First published May 1, 1993",Neil Gaiman,Graphic Novels,4.2,41842,104.0,26,English,124,31k,1993
Odd and the Frost Giants,"First published March 3, 2008",Neil Gaiman,Fantasy,3.99,36759,97.0,27,English,596,22k,2008
The Sandman: Endless Nights,"First published January 1, 2003",Neil Gaiman,Graphic Novels,4.33,29740,160.0,28,,221,14k,2003
Don't Panic: The Official Hitchhiker's Guide to the Galaxy Companion,"First published January 1, 1986",Neil Gaiman,Nonfiction,4.28,25153,181.0,29,English,3627,21.7k,1986
"The Absolute Sandman, Volume 1","First published October 1, 1990",Neil Gaiman,Comics,4.64,22339,612.0,30,English,533,18.1k,1990
The Sandman: The Dream Hunters,"First published January 1, 1999",Neil Gaiman,Graphic Novels,4.41,21084,128.0,31,English,88,13.5k,1999
Art Matters: Because Your Imagination Can Change the World,"First published November 20, 2018",Neil Gaiman,Nonfiction,4.29,19304,101.0,32,,240,26.4k,2018
InterWorld,"First published June 26, 2007",Neil Gaiman,Fantasy,3.56,22783,239.0,33,English,851,13.4k,2007
Batman: Whatever Happened to the Caped Crusader?,"First published July 21, 2009",Neil Gaiman,Comics,3.98,19595,128.0,34,English,103,10.6k,2009
"The Graveyard Book Graphic Novel, Volume 1","First published July 29, 2014",Neil Gaiman,Graphic Novels,4.31,17895,192.0,35,English,401,11.7k,2014
