title,publication_date,author,genre,average_rating,num_of_ratings,num_of_pages,rank,language,current_readers,already_read
The House in the Cerulean Sea,"March 16, 2020",T.J. Klune,Fantasy,4.39,"7,48,874",394,1,English,40.2k,871k
House of Earth and Blood,"March 3, 2020",Sarah J. Maas,Romance,4.47,"8,60,457",803,2,English,71.6k,961k
The Invisible Life of Addie LaRue,"October 6, 2020",Victoria E. Schwab,Fantasy,4.18,"12,29,885",448,3,English,112k,2m
American Dirt,"January 21, 2020",Jeanine Cummins,Fiction,4.37,"6,17,385",459,4,English,66.7k,417k
The Midnight Library,"August 13, 2020",Matt Haig,Fiction,3.99,"20,30,733",288,5,English,106k,2m
The Vanishing Half,"June 2, 2020",Brit Bennett,Fiction,4.14,"7,94,599",343,6,English,47.8k,782k
Beach Read,"May 19, 2020",Emily Henry,Romance,3.99,"13,44,851",400,7,English,49.9k,1m
My Dark Vanessa,"March 10, 2020",Kate Elizabeth Russell,Fiction,4.1,"3,68,325",373,8,English,17.8k,467k
The Ballad of Songbirds and Snakes,"May 19, 2020",Suzanne Collins,Dystopia,3.97,"8,78,860",541,9,English,75.2k,581k
Mexican Gothic,"June 30, 2020",Silvia Moreno-Garcia,Horror,3.68,"4,39,581",320,10,English,20.3k,534k
Chain of Gold,"March 3, 2020",Cassandra Clare,Fantasy,4.38,"1,11,984",582,11,English,"7,173",225k
Dear Edward,"January 6, 2020",Ann Napolitano,Fiction,4.08,"1,96,835",340,12,English,14.9k,208k
The Guest List,"February 20, 2020",Lucy Foley,Mystery,3.81,"11,18,263",319,13,English,56.5k,888k
Piranesi,"September 15, 2020",Susanna Clarke,Fantasy,4.22,"3,38,403",272,14,English,16.8k,479k
Reign,"July 30, 2020",Siobhan Davis ™,Reverse Harem,4.27,"12,513",479,15,English,"2,922","5,691"
The Southern Book Club's Guide to Slaying Vampires,"April 7, 2020",Grady Hendrix,Horror,3.8,"2,53,910",410,16,English,12.2k,309k
The Sun Down Motel,"February 18, 2020",Simone St. James,Mystery,4.01,"1,67,167",327,17,English,"5,494",182k
Untamed,"March 10, 2020",Glennon Doyle,Nonfiction,3.99,"4,71,760",333,18,English,47.9k,406k
Rebellion,"April 10, 2020",Siobhan Davis ™,Reverse Harem,4.29,"15,129",333,19,English,"3,275","5,800"
Bell Hammers,"October 12, 2020",Lancelot Schaubert,Historical Fiction,4.16,693,334,20,English,55,16.4k
The Girl with the Louding Voice,"February 4, 2020",Abi Daré,Fiction,4.43,"1,59,223",371,21,English,"9,121",206k
Resurrection,"January 31, 2020",Siobhan Davis ™,Reverse Harem,4.2,"18,667",371,22,English,"6,201",19.3k
The Shadows Between Us,"February 25, 2020",Tricia Levenseller,Fantasy,3.83,"1,93,501",326,23,English,"6,828",365k
Long Bright River,"January 7, 2020",Liz Moore,Mystery,4.04,"1,23,453",482,24,English,"9,793",160k
In Five Years,"March 10, 2020",Rebecca Serle,Romance,3.78,"5,45,235",272,25,English,25k,576k
